Team,League,City,Country,Stadium Name,Capacity,Latitude,Longitude
1. FC Heidenheim,German Bundesliga,Heidenheim an der Brenz,Germany,Voith-Arena,15000,48.668611,10.139444
1. FC Union Berlin,German Bundesliga,Berlin,Germany,Stadion An der Alten Försterei,22012,52.457222,13.568056
1. FSV Mainz 05,German Bundesliga,Mainz,Germany,Mewa Arena,33305,49.984167,8.224167
AC Milan,Italian Serie A,Milan,Italy,San Siro,80018,45.478056,9.123889
AC Monza,Italian Serie A,Monza,Italy,Stadio Brianteo,16917,45.582778,9.308056
AC Sparta Prague,Czech First League,Prague,Czechia,Stadion Letná,18944,50.099722,14.415833
ACF Fiorentina,Italian Serie A,Florence,Italy,Stadio Artemio Franchi,43147,43.780833,11.282222
AFC Bournemouth,English Premier League,Bournemouth,England,Dean Court,11307,50.735278,-1.838333
AJ Auxerre,French Ligue 1,Auxerre,France,Stade de l'Abbé-Deschamps,21379,47.786753,3.588664
Angers SCO,French Ligue 1,Angers,France,Stade Raymond Kopa,18752,47.460458,-0.530741
Arsenal F.C.,English Premier League,London,England,Emirates Stadium,60704,51.556667,-0.106111
AS Monaco FC,French Ligue 1,Fontvieille,Monaco,Stade Louis II,18523,43.7275,7.415556
AS Roma,Italian Serie A,Rome,Italy,Stadio Olimpico,70634,41.933889,12.454722
AS Saint-Étienne,French Ligue 1,Saint-Étienne,France,Stade Geoffroy-Guichard,41965,45.460833,4.390278
Aston Villa F.C.,English Premier League,Birmingham,England,Villa Park,42918,52.509167,-1.884722
Atalanta BC,Italian Serie A,Bergamo,Italy,Stadio Atleti Azzurri d'Italia,24950,45.708889,9.680833
Athletic Bilbao,Spanish La Liga,Bilbao,Spain,San Mamés Stadium (2013),53289,43.2643,-2.9504
Atlético Madrid,Spanish La Liga,Madrid,Spain,Metropolitano Stadium,70460,40.436111,-3.599444
Bayer 04 Leverkusen,German Bundesliga,Leverkusen,Germany,BayArena,30210,51.038333,7.002222
Blackburn Rovers F.C.,EFL Championship,Blackburn,England,Ewood Park,31367,53.728611,-2.489167
Bologna FC 1909,Italian Serie A,Bologna,Italy,Stadio Renato Dall'Ara,38279,44.492222,11.309722
Borussia Dortmund,German Bundesliga,Dortmund,Germany,Westfalenstadion,81365,51.4925,7.451667
Borussia Mönchengladbach,German Bundesliga,Mönchengladbach,Germany,Borussia-Park,54042,51.174722,6.385556
Brentford F.C.,English Premier League,London,England,Brentford Community Stadium,17250,51.490833,-0.288611
Brighton & Hove Albion F.C.,English Premier League,Brighton and Hove,England,Falmer Stadium,31876,50.861944,-0.083333
Bristol City F.C.,EFL Championship,Bristol,England,Ashton Gate (stadium),27000,51.44,-2.620278
BSC Young Boys,Swiss Super League,Bern,Switzerland,Stadion Wankdorf,31120,46.963056,7.464722
Burnley F.C.,EFL Championship,Burnley,England,Turf Moor,21944,53.789167,-2.230278
CA Osasuna,Spanish La Liga,Pamplona,Spain,El Sadar Stadium,23516,42.796667,-1.636944
Cagliari Calcio,Italian Serie A,Cagliari,Italy,Unipol Domus,16416,39.2,9.1375
Cardiff City F.C.,EFL Championship,Cardiff,Wales,Cardiff City Stadium,33280,51.472781,-3.203061
CD Leganés,Spanish La Liga,Leganés,Spain,Estadio Municipal de Butarque,12450,40.3404,-3.7607
Celtic F.C.,Scottish Premiership,Glasgow,Scotland,Celtic Park,60411,55.849722,-4.205556
Chelsea F.C.,English Premier League,London,England,Stamford Bridge,40173,51.481667,-0.191111
Club Brugge KV,Belgian Pro League,Bruges,Belgium,Jan Breydel Stadium,29042,51.193333,3.180556
Como 1907,Italian Serie A,Como,Italy,Stadio Giuseppe Sinigaglia,13602,45.813889,9.072222
Coventry City F.C.,EFL Championship,Coventry,England,Coventry Building Society Arena,32609,52.448056,-1.495556
Crystal Palace F.C.,English Premier League,London,England,Selhurst Park,25194,51.398333,-0.085556
Deportivo Alavés,Spanish La Liga,Vitoria-Gasteiz,Spain,Mendizorrotza Stadium,19840,42.837111,-2.688044
Derby County F.C.,EFL Championship,Derby,England,Pride Park Stadium,32956,52.915,-1.447222
Eintracht Frankfurt,German Bundesliga,Frankfurt,Germany,Waldstadion (Frankfurt),58000,50.068056,8.645806
Empoli FC,Italian Serie A,Empoli,Italy,Stadio Carlo Castellani,16284,43.726389,10.955
Everton F.C.,English Premier League,Liverpool,England,Goodison Park,39414,53.438889,-2.966389
FC Augsburg,German Bundesliga,Augsburg,Germany,Augsburg Arena,30660,48.323056,10.886111
FC Barcelona,Spanish La Liga,Barcelona,Spain,Estadi Olímpic Lluís Companys,54367,41.364722,2.155556
FC Bayern Munich,German Bundesliga,Munich,Germany,Allianz Arena,75000,48.218889,11.624722
FC Nantes,French Ligue 1,Nantes,France,Stade de la Beaujoire,35322,47.256,-1.525
FC Red Bull Salzburg,Austrian Bundesliga,Wals-Siezenheim,Austria,Red Bull Arena (Salzburg),30188,47.816389,12.998333
FC Shakhtar Donetsk,Ukrainian Premier League,Lviv,Ukraine,Arena Lviv,34915,49.775278,24.027778
FC St. Pauli,German Bundesliga,Hamburg,Germany,Millerntor-Stadion,29546,53.554583,9.967667
Feyenoord,Dutch Eredivisie,Rotterdam,Netherlands,De Kuip,47500,51.893889,4.523056
Fulham F.C.,English Premier League,London,England,Craven Cottage,26000,51.475,-0.221667
Genoa CFC,Italian Serie A,Genoa,Italy,Stadio Luigi Ferraris,36599,44.416389,8.9525
Getafe CF,Spanish La Liga,Getafe,Spain,Estadio Coliseum,16500,40.325556,-3.714722
Girona FC,Spanish La Liga,Girona,Spain,Estadi Montilivi,14624,41.961389,2.828611
GNK Dinamo Zagreb,Croatian SuperSport HNL,Zagreb,Croatia,Stadion Maksimir,24851,45.818889,16.018056
Hellas Verona FC,Italian Serie A,Verona,Italy,Stadio Marcantonio Bentegodi,39211,45.435278,10.968611
Holstein Kiel,German Bundesliga,Kiel,Germany,Holstein-Stadion,15034,54.349167,10.123611
Hull City A.F.C.,EFL Championship,Kingston upon Hull,England,MKM Stadium,25586,53.746111,-0.367778
Inter Milan,Italian Serie A,Milan,Italy,San Siro,80018,45.478056,9.123889
Ipswich Town F.C.,English Premier League,Ipswich,England,Portman Road,29813,52.055,1.144722
Juventus FC,Italian Serie A,Turin,Italy,Juventus Stadium,41507,45.109444,7.641111
Le Havre AC,French Ligue 1,Le Havre,France,Stade Océane,25178,49.498889,0.169722
Leeds United F.C.,EFL Championship,Leeds,England,Elland Road,37608,53.777778,-1.572222
Leicester City F.C.,English Premier League,Leicester,England,King Power Stadium,32259,52.620278,-1.142222
Lille OSC,French Ligue 1,Lille,France,Stade Pierre-Mauroy,50186,50.6119,3.1304
Liverpool F.C.,English Premier League,Liverpool,England,Anfield,61276,53.430833,-2.960833
Luton Town F.C.,EFL Championship,Luton,England,Kenilworth Road,12000,51.884167,-0.431667
Manchester City F.C.,English Premier League,Manchester,England,City of Manchester Stadium,52900,53.483056,-2.200278
Manchester United F.C.,English Premier League,Manchester,England,Old Trafford,74197,53.463056,-2.291389
Middlesbrough F.C.,EFL Championship,Middlesbrough,England,Riverside Stadium,34742,54.578333,-1.216944
Millwall F.C.,EFL Championship,London,England,The Den,20146,51.485833,-0.050833
Montpellier HSC,French Ligue 1,Montpellier,France,Stade de la Mosson,32900,43.622222,3.811944
Newcastle United F.C.,English Premier League,Newcastle upon Tyne,England,St James' Park,52258,54.975556,-1.621667
Norwich City F.C.,EFL Championship,Norwich,England,Carrow Road,27359,52.622222,1.309167
Nottingham Forest F.C.,English Premier League,West Bridgford,England,City Ground,30404,52.94,-1.132778
OGC Nice,French Ligue 1,Nice,France,Allianz Riviera,35624,43.705278,7.1925
Olympique de Marseille,French Ligue 1,Marseille,France,Stade Vélodrome,18523,43.269722,5.395833
Olympique Lyonnais,French Ligue 1,Lyon,France,Parc Olympique Lyonnais,59186,45.765224,4.982131
Oxford United F.C.,EFL Championship,Oxford,England,Kassam Stadium,12500,51.716389,-1.208056
Paris Saint-Germain F.C.,French Ligue 1,Paris,France,Parc des Princes,47926,48.84145,2.25305
Parma Calcio 1913,Italian Serie A,Parma,Italy,Stadio Ennio Tardini,27906,44.794917,10.338444
Plymouth Argyle F.C.,EFL Championship,Plymouth,England,Home Park,17900,50.388056,-4.150833
Portsmouth F.C.,EFL Championship,Portsmouth,England,Fratton Park,20899,50.796389,-1.063889
Preston North End F.C.,EFL Championship,Preston,England,Deepdale,23408,53.772222,-2.688056
PSV Eindhoven,Dutch Eredivisie,Eindhoven,Netherlands,Philips Stadion,36500,51.441667,5.4675
Queens Park Rangers F.C.,EFL Championship,London,England,Loftus Road,18439,51.509167,-0.232222
Rayo Vallecano,Spanish La Liga,Madrid,Spain,Vallecas Stadium,14708,40.391944,-3.658889
RB Leipzig,German Bundesliga,Leipzig,Germany,Red Bull Arena (Leipzig),47069,51.345833,12.348333
RC Celta de Vigo,Spanish La Liga,Vigo,Spain,Balaídos,24791,42.2118,-8.7397
RC Lens,French Ligue 1,Lens,France,Stade Bollaert-Delelis,37705,50.432778,2.815
RC Strasbourg Alsace,French Ligue 1,Strasbourg,France,Stade de la Meinau,29230,48.56,7.755
RCD Espanyol,Spanish La Liga,Cornellà and El Prat,Spain,Stage Front Stadium,40000,41.347778,2.075556
RCD Mallorca,Spanish La Liga,Palma de Mallorca,Spain,Estadi Mallorca Son Moix,23142,39.59,2.63
Real Betis,Spanish La Liga,Seville,Spain,Estadio Benito Villamarín,60720,37.356389,-5.981389
Real Madrid CF,Spanish La Liga,Madrid,Spain,Santiago Bernabéu Stadium,83186,40.453056,-3.688333
Real Sociedad,Spanish La Liga,San Sebastián,Spain,Anoeta Stadium,39500,43.301389,-1.973611
Real Valladolid,Spanish La Liga,Valladolid,Spain,Estadio José Zorrilla,27618,41.644444,-4.761111
Red Star Belgrade,Serbian SuperLiga,Belgrade,Serbia,Red Star Stadium,53000,44.783333,20.464722
